id,name,now_cost,position,team,ep_this,influence_rank,news,bonus,expected_goal_involvements_per_90,web_name,points_per_game_rank_type,creativity_rank_type,form_rank,event_points,total_points,goals_conceded,value_season,cost_change_start,goals_scored,corners_and_indirect_freekicks_order,form_rank_type,in_dreamteam,ict_index_rank,transfers_in_event,saves,expected_assists,now_cost_rank,selected_rank,transfers_in,expected_goal_involvements,news_added,penalties_order,form,minutes,threat,now_cost_rank_type,ict_index,expected_assists_per_90,yellow_cards,starts_per_90,cost_change_event_fall,chance_of_playing_this_round,assists,threat_rank,transfers_out_event,penalties_missed,threat_rank_type,expected_goals_conceded,chance_of_playing_next_round,expected_goals_per_90,own_goals,transfers_out,goals_conceded_per_90,ict_index_rank_type,expected_goals,dreamteam_count,points_per_game,cost_change_start_fall,penalties_saved,value_form,bps,creativity_rank,influence_rank_type,red_cards,selected_by_percent,selected_rank_type,clean_sheets_per_90,starts,influence,ep_next,cost_change_event,creativity,saves_per_90,clean_sheets,direct_freekicks_order,status,points_per_game_rank,expected_goals_conceded_per_90
1,Folarin Balogun,44,FWD,Arsenal,0.0,593,Transferred to Monaco,0,0.0,Balogun,63,60,537,0,0,0,0.0,-1,0,,50,False,600,0,0,0.00,523,304,10024,0.00,2023-08-31T08:55:15.272751Z,,0.0,0,0.0,92,0.0,0.0,0,0.0,0,0.0,0,570,376,0,59,0.00,0.0,0.0,0,59392,0.0,59,0.00,0,0.0,1,0,0.0,0,584,57,0,0.2,47,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,606,0.0
2,Cédric Alves Soares,39,DEF,Arsenal,1.0,456,,0,0.0,Cédric,156,157,362,0,0,0,0.0,-1,0,,115,False,462,1015,0,0.00,712,249,27299,0.00,,,0.0,0,0.0,226,0.0,0.0,0,0.0,0,,0,412,1078,0,147,0.00,,0.0,0,29207,0.0,159,0.00,0,0.0,1,0,0.0,0,437,160,0,0.4,98,0.0,0,0.0,0.5,0,0.0,0.0,0,,a,467,0.0
3,Mohamed Elneny,44,MID,Arsenal,2.3,441,,0,0.0,M.Elneny,31,208,213,0,4,0,0.9,-1,0,,100,False,443,478,0,0.00,491,401,11532,0.00,2023-08-11T13:00:06.079379Z,,1.3,1,2.0,281,0.4,0.0,0,0.0,0,100.0,1,395,553,0,197,0.00,100.0,0.0,0,14306,0.0,207,0.00,0,4.0,1,0,0.3,12,417,206,0,0.1,129,0.0,0,1.8,1.8,0,0.5,0.0,0,,a,57,0.0
4,Fábio Ferreira Vieira,54,MID,Arsenal,2.7,255,Suspended until 09 Dec,0,0.59,Fábio Vieira,78,112,200,-2,21,2,3.9,-1,1,5.0,93,False,225,44,0,0.35,126,396,11352,1.55,2023-11-12T02:00:08.552136Z,4.0,1.7,236,77.0,81,21.9,0.13,0,0.76,0,100.0,3,149,1221,0,91,1.48,0.0,0.46,0,15849,0.76,110,1.20,0,2.6,1,0,0.3,62,190,102,1,0.1,128,0.38,2,79.4,0.0,0,63.6,0.0,1,,s,179,0.56
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,2.3,164,,2,0.05,Gabriel,49,102,226,2,29,7,6.0,-2,0,,77,False,234,27036,0,0.11,302,23,862501,0.45,2023-09-30T23:00:07.672676Z,,1.3,744,46.0,35,21.1,0.01,1,0.97,0,100.0,0,208,22061,0,52,7.50,100.0,0.04,0,2278215,0.85,73,0.34,0,2.9,2,0,0.3,142,304,65,0,14.9,7,0.36,8,137.8,1.8,0,26.6,0.0,3,,a,145,0.91
6,Kai Havertz,71,MID,Arsenal,2.7,235,,0,0.38,Havertz,100,64,203,1,25,6,3.5,-4,1,,96,False,112,1453,0,0.69,28,146,38829,2.99,,3.0,1.7,711,147.0,16,37.3,0.09,4,1.01,0,,1,67,2966,0,41,6.22,,0.29,0,348694,0.76,64,2.30,0,2.1,4,0,0.2,64,89,93,0,1.5,44,0.38,8,96.4,2.2,0,129.8,0.0,3,,a,230,0.79
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,0.2,276,,2,0.5,G.Jesus,24,33,737,0,18,4,2.3,-2,1,,94,False,194,2856,0,0.30,15,132,403951,2.01,2023-10-24T23:30:07.618920Z,,0.0,362,144.0,6,26.9,0.07,2,0.99,0,25.0,1,70,6806,0,25,4.22,100.0,0.43,0,520372,0.99,30,1.71,0,2.6,2,0,0.0,51,210,33,0,1.9,22,0.5,4,67.8,0.5,0,58.7,0.0,2,,a,182,1.05
9,Jorge Luiz Frello Filho,53,MID,Arsenal,2.3,304,,0,0.09,Jorginho,149,111,232,2,13,6,2.5,-2,0,,107,False,309,489,0,0.30,132,325,7386,0.39,2023-08-07T15:30:05.168632Z,,1.3,381,9.0,83,12.3,0.07,1,0.94,0,100.0,0,356,404,0,181,4.68,100.0,0.02,0,15119,1.42,139,0.09,0,1.4,2,0,0.2,60,187,130,0,0.2,97,0.24,4,49.6,1.8,0,64.7,0.0,1,,a,318,1.11
10,Jakub Kiwior,43,DEF,Arsenal,3.3,353,,0,0.18,Kiwior,73,137,129,1,9,2,2.1,-2,0,,43,False,373,151,0,0.05,597,422,3738,0.37,,,2.3,182,16.0,153,5.3,0.02,0,0.99,0,,0,314,217,0,105,0.87,,0.16,0,7407,0.99,134,0.32,0,2.2,2,0,0.5,42,376,136,0,0.1,163,0.49,2,29.4,2.8,0,6.4,0.0,1,,a,213,0.43
11,Marcus Oliveira Alencar,45,MID,Arsenal,0.0,652,Season long loan to FC Nantes,0,0.0,Marquinhos,269,263,601,0,0,0,0.0,0,0,,230,False,658,0,0,0.00,426,515,819,0.00,2023-08-14T03:57:12.475590Z,,0.0,0,0.0,246,0.0,0.0,0,0.0,0,0.0,0,638,63,0,258,0.00,0.0,0.0,0,11432,0.0,266,0.00,0,0.0,0,0,0.0,0,648,262,0,0.0,179,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,662,0.0
